country,acronym,population,production-based_PDF,PDF_footprint,net_importer,percapite_production_based_PDF,percapita_PDF_footprint,percapita_net_trade,Indicator_Name,Indicator_Code,GNI_percapita_PPP,Adj_netNationalIncome_percapita
Austria,AUT,8879920,4.71169e-5,8.6343e-5,3.92261e-5,5.306e-12,9.72339e-12,4.41739e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,55647.00605140609,37580.22731028447
Saudi Arabia,SAU,34268529,3.38862e-4,4.930582e-4,1.541962e-4,9.88843e-12,1.438807e-11,4.4996400000000004e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,47528.62848478008,16702.416248194328
Portugal,PRT,10286263,1.329311e-4,1.799798e-4,4.70487e-5,1.292317e-11,1.74971e-11,4.57393e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,34036.33943460294,17329.867059505348
France,FRA,67248926,3.227625e-4,6.353067e-4,3.125442e-4,4.79952e-12,9.44709e-12,4.64757e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,46907.184652717835,32473.409376708336
Canada,CAN,37601230,1.155347e-4,3.03058e-4,1.875233e-4,3.07263e-12,8.05979e-12,4.98715e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,48591.23289305624,36991.59798153108
United Kingdom,GBR,66836327,3.5114e-5,3.76605e-4,3.41491e-4,5.2537e-13,5.63473e-12,5.10936e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,47066.25779037937,NA
Finland,FIN,5521606,5.8389e-6,3.51923e-5,2.93534e-5,1.05746e-12,6.37355e-12,5.31609e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,48828.94077178626,37568.31964769298
Malta,MLT,504062,5.135e-7,3.3008e-6,2.7874e-6,1.01869e-12,6.54849e-12,5.52981e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,42083.7171615076,NA
CSSR/Czech Republic (1990/1991),CZE,10671870,1.61021e-5,7.87639e-5,6.26618e-5,1.50884e-12,7.38051e-12,5.87168e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,38512.360201637595,14840.320353378143
Yugoslavia/Serbia (1991/1992),SRB,9356141,2.4173e-5,8.34767e-5,5.93037e-5,2.58365e-12,8.92212e-12,6.33847e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,17311.52990834104,5308.848747667436
Estonia,EST,1326855,2.5205e-6,1.10631e-5,8.5426e-6,1.89959e-12,8.33781e-12,6.43822e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,35472.2893374391,17019.597788608007
Namibia,NAM,2494524,6.6704e-6,2.27593e-5,1.60889e-5,2.67403e-12,9.12371e-12,6.44968e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,9758.48215690574,4181.428768733434
Sweden,SWE,10278887,8.7799e-6,7.73077e-5,6.85277e-5,8.5417e-13,7.52101e-12,6.66684e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,54441.03775611859,45565.16800925953
Bahamas,BHS,389486,5.6746e-6,8.2931e-6,2.6185e-6,1.456943e-11,2.129243e-11,6.723e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,32291.86455318385,27251.178319738177
Norway,NOR,5347896,1.6476e-6,3.92923e-5,3.76447e-5,3.0807e-13,7.34724e-12,7.03916e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,66977.37410459548,59205.0140455068
Botswana,BWA,2303703,1.01808e-5,2.71567e-5,1.6976e-5,4.41931e-12,1.17883e-11,7.36899e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,14328.009392336293,4815.220377928098
Iceland,ISL,360563,1.89e-8,2.68e-6,2.6611e-6,5.229e-14,7.43269e-12,7.3804e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,47894.96871345225
Venezuela,VEN,28515829,9.707945e-4,0.001189325,2.185305e-4,3.404406e-11,4.170753e-11,7.66348e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Libya,LBY,6777453,8.7291e-6,6.22469e-5,5.35178e-5,1.28796e-12,9.1844e-12,7.89644e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Germany,DEU,83092962,7.59907e-5,7.615679e-4,6.855771e-4,9.1453e-13,9.16525e-12,8.25072e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,55685.01170023389,36665.559804568744
Denmark,DNK,5814422,1.12999e-5,5.94778e-5,4.81779e-5,1.94343e-12,1.022935e-11,8.28593e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,58453.58756530687,49015.837498009474
El Salvador,SLV,6453550,1.314087e-4,1.896162e-4,5.82076e-5,2.036223e-11,2.938169e-11,9.01946e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,8575.426578431625,3316.7738442488835
Japan,JPN,126264931,3.259541e-4,0.0014940179,0.0011680638,2.58151e-12,1.18324e-11,9.25089e-12,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,43276.34133762985,28165.652288949022
Netherlands,NLD,17344874,7.0011e-6,1.852851e-4,1.78284e-4,4.0364e-13,1.068241e-11,1.027877e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,55628.176495897,40640.40077209478
Switzerland,CHE,8575280,1.94789e-5,1.139061e-4,9.44272e-5,2.27152e-12,1.328308e-11,1.101156e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,67530.73814334972,64006.90691584985
Belgium,BEL,11488980,5.5986e-6,1.353544e-4,1.297558e-4,4.873e-13,1.178123e-11,1.129393e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,52490.4618303729,35457.496848778326
United Arab Emirates,ARE,9770526,3.163e-7,1.124546e-4,1.121383e-4,3.237e-14,1.150957e-11,1.14772e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,72131.1348664441,38672.79104481244
Bahrain,BHR,1641164,3.8e-9,1.93206e-5,1.93168e-5,2.33e-15,1.17725e-11,1.177017e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,46857.13386899957,17796.611927632664
Ireland,IRL,4934340,6.9492e-6,6.588e-5,5.89307e-5,1.40834e-12,1.335132e-11,1.194298e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,67651.5900768436,39387.948639948234
South Korea,KOR,51764822,3.08545e-5,7.001572e-4,6.693027e-4,5.9605e-13,1.352573e-11,1.292968e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,43116.57374229938,25086.50599149605
Israel,ISR,9054000,1.46521e-5,1.634903e-4,1.488381e-4,1.61831e-12,1.805724e-11,1.643893e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,40919.60771095991,34297.77892688194
Kuwait,KWT,4207077,7.62e-8,9.41401e-5,9.40638e-5,1.812e-14,2.237659e-11,2.235847e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,54606.28912322863,27403.310001979684
Luxembourg,LUX,620001,4.532e-7,1.45502e-5,1.40969e-5,7.31e-13,2.346796e-11,2.273696e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,77422.85282910157,56892.37613209548
Singapore,SGP,5703569,4.929e-7,1.596818e-4,1.591889e-4,8.642e-14,2.799681e-11,2.791039e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
Qatar,QAT,2832071,3.56e-8,1.082917e-4,1.082561e-4,1.258e-14,3.823763e-11,3.822505e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,88646.63742664813,NA
Brunei Darussalam,BRN,433296,8.8923e-6,2.56667e-5,1.67744e-5,2.052253e-11,5.923591e-11,3.871338e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,63269.65924175575,24740.655805501938
Hong Kong,HKG,7507400,0,5.751373e-4,5.751373e-4,0,7.660939e-11,7.660939e-11,"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,NA,NA
